key_id,tournament_id,tournament_name,match_id,match_name,stage_name,group_name,group_stage,knockout_stage,replayed,replay,match_date,match_time,stadium_id,stadium_name,city_name,country_name,home_team_id,home_team_name,home_team_code,away_team_id,away_team_name,away_team_code,score,home_team_score,away_team_score,home_team_score_margin,away_team_score_margin,extra_time,penalty_shootout,score_penalties,home_team_score_penalties,away_team_score_penalties,result,home_team_win,away_team_win,draw,stadium_capacity,attendance,officials
1,WC-1930,1930 FIFA World Cup,M-1930-01,France v Mexico,group stage,Group 1,1,0,0,0,1930-07-13,15:00,S-193,Estadio Pocitos,Montevideo,Uruguay,T-28,France,FRA,T-44,Mexico,MEX,4–1,4,1,3,-3,0,0,0-0,0,0,home team win,1,0,0,10000,4444,Domingo Lombardi (Referee) · Henry Cristophe (AR1) · Gilberto Rego (AR2)
4,WC-1930,1930 FIFA World Cup,M-1930-04,Romania v Peru,group stage,Group 3,1,0,0,0,1930-07-14,14:50,S-193,Estadio Pocitos,Montevideo,Uruguay,T-59,Romania,ROU,T-54,Peru,PER,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,10000,2549,Alberto Warnken (Referee) · Jean Langenus (AR1) · Francisco Mateucci (AR2)
2,WC-1930,1930 FIFA World Cup,M-1930-02,United States v Belgium,group stage,Group 4,1,0,0,0,1930-07-13,15:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-06,Belgium,BEL,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,20000,18346,Jose Macias (Referee) · Francisco Mateucci (AR1) · Alberto Warnken (AR2)
3,WC-1930,1930 FIFA World Cup,M-1930-03,Yugoslavia v Brazil,group stage,Group 2,1,0,0,0,1930-07-14,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-09,Brazil,BRA,2–1,2,1,1,-1,0,0,0-0,0,0,home team win,1,0,0,20000,24059,Anibal Tejada (Referee) · Ricardo Vallarino (AR1) · Thomas Balway (AR2)
5,WC-1930,1930 FIFA World Cup,M-1930-05,Argentina v France,group stage,Group 1,1,0,0,0,1930-07-15,16:00,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-03,Argentina,ARG,T-28,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,20000,23409,Gilberto Rego (Referee) · Ulises Saucedo (AR1) · Constantin Radulescu (AR2)
6,WC-1930,1930 FIFA World Cup,M-1930-06,Chile v Mexico,group stage,Group 1,1,0,0,0,1930-07-16,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-13,Chile,CHL,T-44,Mexico,MEX,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,20000,9249,Henry Cristophe (Referee) · Martin Aphesteguy (AR1) · Jean Langenus (AR2)
7,WC-1930,1930 FIFA World Cup,M-1930-07,Yugoslavia v Bolivia,group stage,Group 2,1,0,0,0,1930-07-17,12:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-84,Yugoslavia,YUG,T-07,Bolivia,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,20000,18306,Francisco Mateucci (Referee) · Domingo Lombardi (AR1) · Alberto Warnken (AR2)
8,WC-1930,1930 FIFA World Cup,M-1930-08,United States v Paraguay,group stage,Group 4,1,0,0,0,1930-07-17,14:45,S-192,Estadio Gran Parque Central,Montevideo,Uruguay,T-80,United States,USA,T-53,Paraguay,PRY,3–0,3,0,3,-3,0,0,0-0,0,0,home team win,1,0,0,20000,18306,Jose Macias (Referee) · Martin Aphesteguy (AR1) · Anibal Tejada (AR2)
9,WC-1930,1930 FIFA World Cup,M-1930-09,Uruguay v Peru,group stage,Group 3,1,0,0,0,1930-07-18,14:30,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-54,Peru,PER,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,90000,57735,Jean Langenus (Referee) · Thomas Balway (AR1) · Henry Cristophe (AR2)
10,WC-1930,1930 FIFA World Cup,M-1930-10,Chile v France,group stage,Group 1,1,0,0,0,1930-07-19,12:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-13,Chile,CHL,T-28,France,FRA,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,90000,2000,Anibal Tejada (Referee) · Domingo Lombardi (AR1) · Gilberto Rego (AR2)
11,WC-1930,1930 FIFA World Cup,M-1930-11,Argentina v Mexico,group stage,Group 1,1,0,0,0,1930-07-19,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-44,Mexico,MEX,6–3,6,3,3,-3,0,0,0-0,0,0,home team win,1,0,0,90000,42100,Ulises Saucedo (Referee) · Gualberto Alonso (AR1) · Constantin Radulescu (AR2)
12,WC-1930,1930 FIFA World Cup,M-1930-12,Brazil v Bolivia,group stage,Group 2,1,0,0,0,1930-07-20,13:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-09,Brazil,BRA,T-07,Bolivia,BOL,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,90000,25466,Thomas Balway (Referee) · Francisco Mateucci (AR1) · Gaspar Vallejo (AR2)
13,WC-1930,1930 FIFA World Cup,M-1930-13,Paraguay v Belgium,group stage,Group 4,1,0,0,0,1930-07-20,15:00,S-191,Estadio Centenario,Montevideo,Uruguay,T-53,Paraguay,PRY,T-06,Belgium,BEL,1–0,1,0,1,-1,0,0,0-0,0,0,home team win,1,0,0,90000,12000,Ricardo Vallarino (Referee) · Jose Macias (AR1) · Domingo Lombardi (AR2)
14,WC-1930,1930 FIFA World Cup,M-1930-14,Uruguay v Romania,group stage,Group 3,1,0,0,0,1930-07-21,14:50,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-59,Romania,ROU,4–0,4,0,4,-4,0,0,0-0,0,0,home team win,1,0,0,90000,70022,Gilberto Rego (Referee) · Alberto Warnken (AR1) · Ulises Saucedo (AR2)
15,WC-1930,1930 FIFA World Cup,M-1930-15,Argentina v Chile,group stage,Group 1,1,0,0,0,1930-07-22,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-13,Chile,CHL,3–1,3,1,2,-2,0,0,0-0,0,0,home team win,1,0,0,90000,41459,Jean Langenus (Referee) · Henry Cristophe (AR1) · Ulises Saucedo (AR2)
16,WC-1930,1930 FIFA World Cup,M-1930-16,Argentina v United States,semi-finals,not applicable,0,1,0,0,1930-07-26,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-03,Argentina,ARG,T-80,United States,USA,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,90000,72886,Jean Langenus (Referee) · Gaspar Vallejo (AR1) · Alberto Warnken (AR2)
17,WC-1930,1930 FIFA World Cup,M-1930-17,Uruguay v Yugoslavia,semi-finals,not applicable,0,1,0,0,1930-07-27,14:45,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-84,Yugoslavia,YUG,6–1,6,1,5,-5,0,0,0-0,0,0,home team win,1,0,0,90000,79867,Gilberto Rego (Referee) · Ulises Saucedo (AR1) · Thomas Balway (AR2)
18,WC-1930,1930 FIFA World Cup,M-1930-18,Uruguay v Argentina,final,not applicable,0,1,0,0,1930-07-30,14:15,S-191,Estadio Centenario,Montevideo,Uruguay,T-81,Uruguay,URY,T-03,Argentina,ARG,4–2,4,2,2,-2,0,0,0-0,0,0,home team win,1,0,0,90000,68346,Jean Langenus (Referee) · Ulises Saucedo (AR1) · Henry Cristophe (AR2)
19,WC-1934,1934 FIFA World Cup,M-1934-01,Austria v France,round of 16,not applicable,0,1,0,0,1934-05-27,16:00,S-081,Stadio Benito Mussolini,Turin,Italy,T-05,Austria,AUT,T-28,France,FRA,3–2,3,2,1,-1,1,0,0-0,0,0,home team win,1,0,0,28000,16000,Johannes Van Moorsel (Referee) · Camillo Caironi (AR1) · Louis Baert (AR2)
28,WC-1934,1934 FIFA World Cup,M-1934-10,Czechoslovakia v Switzerland,quarter-finals,not applicable,0,1,0,0,1934-05-31,16:30,S-081,Stadio Benito Mussolini,Turin,Italy,T-20,Czechoslovakia,CSK,T-73,Switzerland,CHE,3–2,3,2,1,-1,0,0,0-0,0,0,home team win,1,0,0,28000,12000,Alois Beranek (Referee) · Youssuf Mohamed (AR1) · Jacques Baert (AR2)
