player_id,given_name,family_name,count_tournaments,list_tournaments,team_name,team_code,team_count
P-08891,Alan,A'Court,1,1958,England,ENG,1
P-08589,Brenden,Aaronson,1,2022,United States,USA,1
P-04897,Stefan,Abadzhiev,1,1966,Bulgaria,BGR,1
P-05556,Jean-Paul,Abalo,1,2006,Togo,TGO,1
P-08163,Patrice,Abanda,1,1998,Cameroon,CMR,1
P-04427,Ignazio,Abate,1,2014,Italy,ITA,1
P-03687,Julio,Abbadie,1,1954,Uruguay,URY,1
P-09495,Claude,Abbes,2,"1954, 1958",France,FRA,1
P-09495,Claude,Abbes,2,"1954, 1958",France,FRA,1
P-05092,Christian,Abbiati,1,2002,Italy,ITA,1
P-07645,Roberto,Abbondanzieri,1,2006,Argentina,ARG,1
P-01553,Mohamed,Abd Al-Jawad,1,1994,Saudi Arabia,SAU,1
P-00267,Adel,Abdel Rahman,1,1990,Egypt,EGY,1
P-00293,Mohamed,Abdel Shafy,1,2018,Egypt,EGY,1
P-09017,Gamal,Abdel-Hamid,1,1990,Egypt,EGY,1
P-09377,Magdi,Abdelghani,1,1990,Egypt,EGY,1
P-03371,Nacer,Abdellah,1,1994,Morocco,MAR,1
P-00323,Ali,Abdi,1,2022,Tunisia,TUN,1
P-00900,Nasrollah,Abdollahi,1,1978,Iran,IRN,1
P-03807,Djamel,Abdoun,1,2010,Algeria,DZA,1
P-02068,Salis,Abdul Samed,1,2022,Ghana,GHA,1
P-03837,Hussein,Abdulghani,2,"2002, 2006",Saudi Arabia,SAU,1
P-03837,Hussein,Abdulghani,2,"2002, 2006",Saudi Arabia,SAU,1
P-09643,Hussein,Abdulghani,1,1998,Saudi Arabia,SAU,1
P-06913,Saud,Abdulhamid,1,2022,Saudi Arabia,SAU,1
P-09894,Majed,Abdullah,1,1994,Saudi Arabia,SAU,1
P-03995,Shehu,Abdullahi,1,2018,Nigeria,NGA,1
P-00290,Fahad,Abdulrahman,1,1990,United Arab Emirates,ARE,1
P-08275,Yuki,Abe,1,2010,Japan,JPN,1
P-05656,Ahmad Reza,Abedzadeh,1,1998,Iran,IRN,1
P-09414,Amir,Abedzadeh,2,"2018, 2022",Iran,IRN,1
P-09414,Amir,Abedzadeh,2,"2018, 2022",Iran,IRN,1
P-05438,Théophile,Abega,1,1982,Cameroon,CMR,1
P-00794,André,Abegglen,2,"1934, 1938",Switzerland,CHE,1
P-00794,André,Abegglen,2,"1934, 1938",Switzerland,CHE,1
P-03292,not applicable,Abel,1,1978,Brazil,BRA,1
P-08182,not applicable,Abelardo,2,"1994, 1998",Spain,ESP,1
P-08182,not applicable,Abelardo,2,"1994, 1998",Spain,ESP,1
P-06599,Ramón,Abeledo,1,1962,Argentina,ARG,1
P-09195,Anad,Abid,1,1986,Iraq,IRQ,1
P-03868,Eric,Abidal,2,"2006, 2010",France,FRA,1
P-03868,Eric,Abidal,2,"2006, 2010",France,FRA,1
P-04927,Juan Carlos,Ablanedo,2,"1986, 1990",Spain,ESP,1
P-04927,Juan Carlos,Ablanedo,2,"1986, 1990",Spain,ESP,1
P-05268,Attila,Abonyi,1,1974,Australia,AUS,1
P-02166,Vincent,Aboubakar,3,"2010, 2014, 2022",Cameroon,CMR,1
P-02166,Vincent,Aboubakar,3,"2010, 2014, 2022",Cameroon,CMR,1
P-02166,Vincent,Aboubakar,3,"2010, 2014, 2022",Cameroon,CMR,1
P-05068,Zakaria,Aboukhlal,1,2022,Morocco,MAR,1
P-02897,Taher,Abouzeid,1,1990,Egypt,EGY,1
P-01212,Henock,Abrahamsson,1,1938,Sweden,SWE,1
P-09321,Rüdiger,Abramczik,1,1978,West Germany,DEU,1
P-06302,Lahcen,Abrami,1,1998,Morocco,MAR,1
P-09628,Marco,Abreu,1,2006,Angola,AGO,1
P-00305,Sebastián,Abreu,2,"2002, 2010",Uruguay,URY,1
P-00305,Sebastián,Abreu,2,"2002, 2010",Uruguay,URY,1
P-08516,not applicable,Acácio,1,1990,Brazil,BRA,1
P-09912,Eusebio,Acasuzo,1,1982,Peru,PER,1
P-09766,Germán,Aceros,1,1962,Colombia,COL,1
P-00930,Danilo,Aceval,1,1998,Paraguay,PRY,1
P-00538,David,Acevedo,1,1958,Argentina,ARG,1
