player_id,given_name,family_name,list_tournaments,team_name,team_code,count_tournaments,team_count
P-00001,Harald,Schumacher,"1982, 1986",West Germany,DEU,2,1
P-00002,Ismail,Mohammed Sharif,1986,Iraq,IRQ,1,1
P-00003,not applicable,Otávio,2022,Portugal,PRT,1,1
P-00004,Julio César,Cortés,"1962, 1966, 1970",Uruguay,URY,3,1
P-00005,Guy,Vandersmissen,1982,Belgium,BEL,1,1
P-00007,Romildo,Etcheverry,1930,Paraguay,PRY,1,1
P-00008,Pedro,Cubilla,1962,Uruguay,URY,1,1
P-00009,Dennis,Aogo,2010,Germany,DEU,1,1
P-00010,Michel,De Wolf,"1986, 1990, 1994",Belgium,BEL,3,1
P-00011,Vladimir,Kesarev,1958,Soviet Union,SUN,1,1
P-00013,Vincenzo,Iaquinta,"2006, 2010",Italy,ITA,2,1
P-00014,Federico,Marchetti,2010,Italy,ITA,1,1
P-00015,Stefan,Skoumal,1938,Germany,DEU,1,1
P-00019,Felice,Soldini,1950,Switzerland,CHE,1,1
P-00021,Hans,Krankl,"1978, 1982",Austria,AUT,2,1
P-00022,Itzhak,Shum,1970,Israel,ISR,1,1
P-00023,Nicolás,Fuentes,1970,Peru,PER,1,1
P-00024,Dominique,Herr,1994,Switzerland,CHE,1,1
P-00025,Harry,Williams,1974,Australia,AUS,1,1
P-00026,Luís,Oliveira,1998,Belgium,BEL,1,1
P-00027,Vladica,Popović,"1958, 1962",Yugoslavia,YUG,2,1
P-00028,Daniel,Amartey,2022,Ghana,GHA,1,1
P-00029,Lucien,Muller,1966,France,FRA,1,1
P-00030,José,Montiel,2006,Paraguay,PRY,1,1
P-00032,Antonio,Rada,1962,Colombia,COL,1,1
P-00033,Tom,Florie,"1930, 1934",United States,USA,2,1
P-00034,Anis,Ayari,2006,Tunisia,TUN,1,1
P-00035,Daniel,Wass,2022,Denmark,DNK,1,1
P-00036,Spiros,Marangos,1994,Greece,GRC,1,1
P-00037,Víctor,Núñez,2006,Costa Rica,CRI,1,1
