,player_id,given_name,family_name,count_tournaments,team_count,list_tournaments,team_name,team_code,full_name
0,P-00001,Harald,Schumacher,2,1,"1982, 1986",West Germany,DEU,Harald Schumacher
1,P-00002,Ismail,Mohammed Sharif,1,1,1986,Iraq,IRQ,Ismail Mohammed Sharif
2,P-00003,not applicable,Otávio,1,1,2022,Portugal,PRT,Otávio
3,P-00004,Julio César,Cortés,3,1,"1962, 1966, 1970",Uruguay,URY,Julio César Cortés
4,P-00005,Guy,Vandersmissen,1,1,1982,Belgium,BEL,Guy Vandersmissen
5,P-00007,Romildo,Etcheverry,1,1,1930,Paraguay,PRY,Romildo Etcheverry
6,P-00008,Pedro,Cubilla,1,1,1962,Uruguay,URY,Pedro Cubilla
7,P-00009,Dennis,Aogo,1,1,2010,Germany,DEU,Dennis Aogo
8,P-00010,Michel,De Wolf,3,1,"1986, 1990, 1994",Belgium,BEL,Michel De Wolf
9,P-00011,Vladimir,Kesarev,1,1,1958,Soviet Union,SUN,Vladimir Kesarev
10,P-00013,Vincenzo,Iaquinta,2,1,"2006, 2010",Italy,ITA,Vincenzo Iaquinta
11,P-00014,Federico,Marchetti,1,1,2010,Italy,ITA,Federico Marchetti
12,P-00015,Stefan,Skoumal,1,1,1938,Germany,DEU,Stefan Skoumal
13,P-00019,Felice,Soldini,1,1,1950,Switzerland,CHE,Felice Soldini
14,P-00021,Hans,Krankl,2,1,"1978, 1982",Austria,AUT,Hans Krankl
15,P-00022,Itzhak,Shum,1,1,1970,Israel,ISR,Itzhak Shum
16,P-00023,Nicolás,Fuentes,1,1,1970,Peru,PER,Nicolás Fuentes
17,P-00024,Dominique,Herr,1,1,1994,Switzerland,CHE,Dominique Herr
18,P-00025,Harry,Williams,1,1,1974,Australia,AUS,Harry Williams
19,P-00026,Luís,Oliveira,1,1,1998,Belgium,BEL,Luís Oliveira
20,P-00027,Vladica,Popović,2,1,"1958, 1962",Yugoslavia,YUG,Vladica Popović
21,P-00028,Daniel,Amartey,1,1,2022,Ghana,GHA,Daniel Amartey
22,P-00029,Lucien,Muller,1,1,1966,France,FRA,Lucien Muller
23,P-00030,José,Montiel,1,1,2006,Paraguay,PRY,José Montiel
24,P-00032,Antonio,Rada,1,1,1962,Colombia,COL,Antonio Rada
25,P-00033,Tom,Florie,2,1,"1930, 1934",United States,USA,Tom Florie
26,P-00034,Anis,Ayari,1,1,2006,Tunisia,TUN,Anis Ayari
27,P-00035,Daniel,Wass,1,1,2022,Denmark,DNK,Daniel Wass
28,P-00036,Spiros,Marangos,1,1,1994,Greece,GRC,Spiros Marangos
29,P-00037,Víctor,Núñez,1,1,2006,Costa Rica,CRI,Víctor Núñez
30,P-00038,Diego,Barreto,1,1,2010,Paraguay,PRY,Diego Barreto
31,P-00040,Kolo,Touré,3,1,"2006, 2010, 2014",Ivory Coast,CIV,Kolo Touré
32,P-00042,Suvarte,Soedarmadji,1,1,1938,Dutch East Indies,IDN,Suvarte Soedarmadji
33,P-00043,Cristian,Gamboa,2,1,"2014, 2018",Costa Rica,CRI,Cristian Gamboa
34,P-00045,Ivan,Deyanov,1,1,1966,Bulgaria,BGR,Ivan Deyanov
35,P-00046,Nacer,Chadli,2,1,"2014, 2018",Belgium,BEL,Nacer Chadli
36,P-00047,Karim,Saidi,1,1,2006,Tunisia,TUN,Karim Saidi
37,P-00049,Ray,Wilson,2,1,"1962, 1966",England,ENG,Ray Wilson
38,P-00050,not applicable,Dida,3,1,"1998, 2002, 2006",Brazil,BRA,Dida
39,P-00051,Adam,Taggart,1,1,2014,Australia,AUS,Adam Taggart
40,P-00053,Exequiel,Palacios,1,1,2022,Argentina,ARG,Exequiel Palacios
41,P-00054,not applicable,Saúl,1,1,2018,Spain,ESP,Saúl
42,P-00056,Gusztáv,Juhász,1,1,1934,Romania,ROU,Gusztáv Juhász
43,P-00057,Álvaro,Saborío,1,1,2006,Costa Rica,CRI,Álvaro Saborío
44,P-00058,Kick,Smit,2,1,"1934, 1938",Netherlands,NLD,Kick Smit
45,P-00059,Antonio,de la Torre,1,1,1978,Mexico,MEX,Antonio de la Torre
46,P-00060,Claudio,Reyna,4,1,"1994, 1998, 2002, 2006",United States,USA,Claudio Reyna
47,P-00061,Souleymanou,Hamidou,1,1,2010,Cameroon,CMR,Souleymanou Hamidou
